KitchenQual,OverallQual,YearBuilt,GrLivArea,TotalBsmtSF
3,4,1910,1346,560
5,8,2007,2610,1184
4,7,2005,1958,1026
4,8,2008,1468,1468
4,5,1977,1734,0
3,5,1946,1200,768
4,7,2006,1550,1092
3,4,1912,2230,795
3,6,1936,1639,1064
3,5,1958,864,864
4,7,1984,1621,1208
4,6,1972,987,483
4,7,1989,2519,1210
3,5,1970,1365,765
4,8,2002,2290,1128
4,9,2006,2596,1249
3,4,1957,907,907
3,6,1976,1456,855
3,5,1962,1190,1106
3,4,1971,858,858
3,7,1973,2223,2223
2,4,1955,1005,1005
4,7,1994,1895,712
3,5,1965,1040,1040
3,5,1960,1264,1268
4,7,2007,1761,874
3,6,1976,1034,1012
3,7,1954,1363,1385
3,6,1956,1689,1436
4,8,1995,2113,2109
4,7,2002,1573,1573
5,9,2009,2364,2330
4,7,1997,2034,1057
4,6,1996,1291,1291
3,5,1958,858,858
3,6,1939,1258,560
2,2,1920,438,290
3,6,1978,1400,672
2,5,1938,954,920
3,6,1964,1445,1127
3,6,2005,1072,547
3,5,1965,1664,0
4,6,1916,2134,844
3,8,1934,3194,965
3,6,1971,1824,912
3,6,1996,1756,872
4,5,1965,912,912
4,6,1988,1509,1461
4,6,1925,1608,976
4,6,2005,1316,1316
3,5,1925,1015,768
3,5,1940,1134,756
4,8,2006,1636,1623
4,7,2003,1320,660
3,5,1967,2126,1013
3,5,1963,1128,1120
3,5,1957,1306,992
3,4,1970,1344,546
3,7,1890,2554,718
4,5,1949,893,845
4,6,2007,1933,894
3,6,1973,1218,672
3,7,1977,1969,808
4,8,1995,2090,1220
3,5,1971,1484,1484
3,5,1973,1656,1656
3,6,1926,1224,818
4,6,2000,2054,992
3,7,1929,854,832
3,4,1973,1092,546
4,5,1977,1268,1268
4,7,1996,1661,799
4,8,2003,1668,1657
4,6,1997,1493,1478
4,6,1950,932,932
3,7,1970,1277,1277
4,7,2004,1530,1530
3,5,1958,1344,1024
3,5,1982,860,840
4,7,2007,1314,1314
4,7,2006,1962,1391
4,7,2004,1490,788
4,6,2004,848,848
3,5,1940,672,672
4,7,1941,2340,1152
3,5,1916,1656,660
4,7,1972,1479,725
4,7,2009,1226,1226
4,6,1966,2087,832
4,6,2004,1158,1158
3,5,1966,1154,1154
4,7,1998,1724,880
3,6,1995,1658,773
4,4,1949,1126,0
3,5,1955,1393,816
4,8,1935,3447,728
3,6,1973,987,483
3,5,1940,1355,644
4,7,1960,2069,585
3,7,1999,1501,744
4,8,2006,1976,1976
4,8,2007,1563,1563
3,7,1926,1111,572
3,7,1931,1502,776
3,3,1955,1733,0
5,9,2005,2728,1848
3,5,1972,1302,630
4,7,1979,1524,1332
3,4,1959,1588,0
3,5,2006,1125,1125
4,7,2005,1200,600
4,6,2004,1640,798
4,7,1994,2127,1223
3,6,1948,972,972
4,8,1995,2020,1128
3,5,1956,1144,1144
4,5,1958,1352,1062
3,5,1929,1316,926
4,8,1998,1924,1086
3,5,1950,1164,1164
3,5,1951,952,952
3,8,1872,2358,684
4,6,1988,1680,880
3,6,1905,1912,482
3,6,1970,1004,1004
3,4,1946,1230,747
3,5,1920,1167,915
2,5,1924,1301,1145
4,7,1986,1453,1453
4,8,2001,1601,1581
4,8,2006,1588,1588
3,6,1958,1095,588
3,5,1961,1050,1050
3,4,1965,960,960
3,5,1948,1456,810
4,6,1968,1489,1489
5,7,2007,1726,1726
4,7,2003,2082,1362
3,7,1990,1339,1309
4,8,1998,2450,1284
4,7,2006,1863,879
3,5,1972,768,768
2,1,1946,334,0
3,6,1965,1136,1136
3,6,1998,1337,1237
3,5,1964,912,912
3,5,1962,1812,864
4,5,1939,2192,720
3,5,1910,1184,658
3,7,1910,1889,925
4,5,1959,1327,1063
4,6,1981,1422,1422
3,5,1967,1632,1632
4,7,2000,1630,1630
2,3,1915,1526,1013
3,4,1949,1040,0
2,6,1915,1647,806
4,4,1928,1981,1122
3,6,1953,1644,1416
5,8,2007,2574,1482
3,6,1919,1824,764
3,6,1964,1350,1248
3,6,1976,958,958
4,6,1923,1848,833
3,4,1976,1620,1281
4,6,1992,1167,1158
3,6,1945,1487,735
3,5,1967,892,892
4,5,1940,804,788
3,5,2006,1140,1140
3,6,1963,1796,780
4,6,1976,2030,848
5,10,2008,2007,1017
5,5,1920,691,691
4,8,2008,1590,768
3,6,1954,1855,994
4,7,1999,1804,994
4,7,2003,1768,884
4,10,1995,3627,1930
4,6,1985,1298,1298
3,7,1959,1801,1501
5,5,1970,630,630
4,6,1925,1103,1103
3,4,1900,1178,859
3,4,1916,1196,1196
4,7,2007,1372,1372
3,6,1962,1431,1099
4,7,2004,1422,1422
4,6,1992,1953,1580
3,4,2003,1121,1121
4,8,2004,2473,1143
3,5,1962,1057,1057
4,5,1978,1110,1097
4,8,1999,2270,1152
5,9,2008,2018,2002
3,6,1978,1386,672
4,8,2005,1953,1082
4,8,1993,1337,1337
4,8,2000,2285,969
4,8,2007,1718,1705
3,5,1966,1086,1024
4,7,2007,1555,1373
5,7,1959,1902,1902
3,7,1990,2514,1216
3,5,1979,1224,1086
3,6,1969,1054,1054
4,8,1998,2612,1225
3,5,1967,902,876
5,7,1980,2353,845
3,6,1977,1392,689
4,5,1961,1155,1109
3,5,1950,1904,1208
3,6,1929,1158,862
3,6,1920,1362,611
4,7,1999,2291,975
3,4,1920,1317,649
5,8,2007,1734,1734
3,6,1959,1194,1194
3,5,1915,1416,876
3,5,1954,1383,1383
3,5,1949,2002,1001
4,8,2007,1496,1496
3,5,1941,1604,984
3,5,1925,764,680
4,6,1985,1732,741
4,7,2006,1494,1494
3,6,1926,986,960
4,7,2005,1145,1145
3,6,1914,1484,742
4,6,1958,1344,819
4,5,1904,1539,650
5,9,2005,2504,1122
3,4,1926,747,600
4,7,1998,2097,1108
5,10,2007,4676,3138
3,6,1937,1176,698
3,4,1920,720,720
4,8,2007,1580,1580
3,4,1977,1440,1440
4,6,2005,1476,738
4,7,2004,1500,1500
3,5,1925,1348,884
4,5,1965,1200,864
3,6,1963,1394,1394
4,6,1966,1632,800
3,5,1967,912,912
3,6,1918,2624,1370
3,5,1962,1696,1140
3,5,1910,1230,440
4,8,1932,2727,853
3,6,2006,1456,728
4,4,1970,864,864
4,6,2004,1709,970
4,8,2001,1665,810
4,7,1993,2646,1347
4,7,2003,1640,798
3,3,1900,1699,978
4,4,1954,1663,1364
3,5,1963,1728,1728
4,6,1992,1845,1055
4,6,1964,1851,822
4,8,2006,1489,1489
3,6,1959,864,864
3,5,1965,1256,1256
3,5,1982,816,816
4,7,1965,1820,864
4,7,1991,2127,1104
3,5,1960,1065,1065
3,6,1923,1200,1200
4,7,2006,1208,1187
4,8,2005,2482,1094
4,7,1996,1720,1720
3,5,1930,840,672
4,6,1991,1294,1278
3,5,2005,1090,1090
4,8,1998,2263,1141
3,5,1975,969,969
3,3,1935,894,894
3,5,1927,1028,1008
3,6,1946,1958,979
4,8,2006,1795,1795
5,9,2009,1940,1930
4,5,1973,1178,1176
2,6,1925,1482,672
5,7,2008,1428,1417
3,5,1972,864,864
3,5,1941,1111,616
3,6,1993,1470,680
3,6,1962,1116,1116
4,6,1959,864,864
3,5,1954,1297,1297
4,5,1950,1113,1113
4,7,1999,1501,1490
4,7,2009,1547,756
4,7,2004,1947,991
4,8,2006,1717,1709
3,6,1971,1052,1010
3,7,1996,2013,1117
4,7,2007,1266,1266
5,9,2005,2868,1992
4,7,2000,2256,952
4,7,2004,1414,1414
4,6,1994,1721,928
3,6,1975,1552,713
3,4,1920,1128,698
3,6,1977,1118,1096
3,6,1976,1728,1728
4,8,1994,2448,1629
5,5,1968,1473,1437
4,7,1990,1717,1156
4,7,2005,1166,856
4,8,2006,1370,1370
3,6,1967,1724,1680
4,7,2004,1709,970
3,6,1971,987,483
3,7,1920,1802,793
3,6,1932,2345,952
3,6,1963,1068,1059
4,6,1993,1617,1604
3,6,1957,1244,1244
2,4,1922,1180,700
4,7,2005,1223,600
3,6,1980,1686,1686
4,8,2007,1646,1638
3,5,1961,1144,864
4,7,2006,1797,939
3,4,1962,1224,0
4,7,2000,1865,992
3,5,1958,1056,1056
5,9,2008,3140,1926
3,6,1977,1212,506
4,8,2004,1694,1686
3,6,1997,1511,802
4,5,1953,1057,1057
3,4,1885,2290,777
4,7,1988,2183,1204
4,7,1990,3222,1673
4,7,1996,1716,880
3,6,1967,1342,1372
4,7,2005,1504,1346
4,8,2003,1992,1053
4,7,1999,1252,600
4,5,1962,999,999
3,4,1910,1363,622
3,6,1966,1165,1127
4,9,2002,1668,1626
4,8,2005,2376,1158
3,5,1900,1440,540
3,6,1997,1470,794
4,7,2005,1541,1541
2,4,1955,1440,1440
4,7,2003,1146,868
5,8,1995,1494,1494
5,9,2004,2224,1462
3,5,1921,1343,731
4,8,1998,2452,1028
3,6,1964,1977,816
4,7,1987,1767,1064
4,8,2006,1324,1324
3,6,1948,1458,912
4,6,2006,1314,1314
4,6,1992,1575,1575
5,9,2007,1620,1620
3,4,1957,1788,1104
3,6,1966,913,814
3,6,1978,2073,1542
4,8,1999,1441,776
3,7,1916,1690,815
3,5,1956,1437,1188
3,7,1968,2156,1568
3,5,1925,864,864
3,5,1976,1112,536
4,7,1990,2243,700
3,4,1925,1328,686
3,4,1927,968,656
3,6,1915,1396,698
5,9,2010,1856,1856
5,8,2007,2161,1582
4,6,1977,1602,1602
3,5,1971,1302,630
4,6,2002,1509,783
3,5,1962,912,912
3,6,1947,1664,1004
3,6,1925,1694,1181
3,4,1945,747,747
3,4,1950,1040,0
4,7,2002,1660,831
4,5,1924,1691,1026
4,5,1950,864,864
3,6,1984,752,744
4,7,2001,1792,963
4,7,2003,1626,764
5,8,2006,1484,1476
4,7,1880,3493,1470
5,9,2006,1652,1652
3,5,1958,1276,1276
3,6,1950,1668,856
3,4,1949,1192,720
4,5,1983,884,840
3,7,1988,2062,1157
3,5,1955,827,0
4,7,1910,2019,728
3,5,1976,1304,264
3,6,1910,1368,684
3,3,1915,1605,840
5,10,2009,2020,2006
4,7,2006,1250,625
4,8,1994,1624,1624
3,4,1982,845,845
3,5,1974,1389,1389
3,5,1923,968,968
3,4,1970,1092,546
4,6,2003,848,848
3,5,1960,1269,1269
3,5,1962,1092,1092
4,7,1977,2263,795
3,4,1956,952,952
3,4,1920,1452,736
3,5,1965,1039,1039
3,6,1998,1204,1204
3,6,1976,1117,1029
4,7,1990,2196,2158
3,5,1977,985,985
4,8,2003,1629,3206
3,7,1928,1477,861
3,5,1977,980,980
4,7,1992,2295,1095
4,6,1923,1502,602
4,6,1966,2201,697
5,8,2007,2078,1034
2,2,1936,800,264
5,8,2008,1578,1573
5,8,2008,1932,1932
3,5,1960,1507,1075
3,5,1967,900,882
5,10,2006,1718,1700
5,5,1880,1750,636
4,7,1996,2398,1379
5,8,2009,1968,774
4,7,2002,1536,1536
3,3,1914,864,864
4,8,1992,3228,3200
4,7,2003,2149,1434
4,7,1880,2640,1240
3,7,1970,1682,1304
5,8,2005,2098,1030
3,5,1965,864,864
3,5,1969,1968,784
3,6,1984,1097,1040
4,6,1920,1196,684
4,5,1958,1920,1052
3,5,1965,1728,1728
4,8,2002,2031,1128
3,6,1956,1196,1196
3,5,1941,803,720
3,5,1969,1620,780
5,8,2005,2097,2077
5,9,2007,1869,1869
4,7,1998,1886,930
3,2,1949,480,480
3,4,1967,1296,0
3,4,1938,816,816
3,7,1978,1601,1271
3,6,2000,1792,936
4,8,1993,2520,1338
3,5,1959,1144,1144
3,5,1921,2601,612
2,6,1939,1577,972
3,5,1963,970,970
3,7,1965,2036,2136
4,6,1969,1026,1026
3,5,1947,698,698
4,7,1975,1533,1533
3,5,1941,1382,720
4,7,2004,1391,1391
4,5,1950,1078,1078
4,8,2001,1296,1267
3,6,1958,1442,1442
3,5,1911,1964,940
4,7,2009,1502,1502
3,6,1957,1392,1392
3,4,1968,1768,1768
3,5,1964,1582,1624
3,6,1960,958,958
3,5,1972,894,894
3,6,1999,1224,1224
5,10,2007,2332,1682
4,8,2004,1269,1256
4,8,2006,1776,1732
4,6,2005,1456,728
3,6,1959,1194,655
4,5,1953,1008,1008
4,7,2005,1555,1373
3,5,1914,1784,747
4,7,1930,1108,637
4,5,2006,1394,384
3,7,1988,1714,980
3,5,1959,882,0
2,3,1940,1306,728
3,6,1980,1217,626
3,5,1994,990,990
4,8,2004,2452,1117
4,6,2003,848,848
3,6,1925,1369,672
4,6,2009,1218,1218
3,6,1922,2555,588
4,8,2005,1247,1247
3,6,1977,2872,1330
4,8,2008,1652,1600
3,6,1977,1844,1844
4,7,2005,1971,1113
3,6,2000,1800,982
4,7,1993,1949,1050
3,4,1972,630,630
4,7,2002,1494,1494
3,3,1910,968,600
4,7,2005,1274,1274
3,6,1955,1520,1156
3,6,1977,1285,660
4,7,2003,1509,783
3,7,1976,1935,793
3,6,1990,816,816
4,7,2003,1200,1176
3,4,1954,1470,941
3,6,1960,1656,1080
4,5,1924,792,768
4,8,2007,1694,1694
4,8,2002,1800,1800
3,5,1900,2337,662
3,6,1949,1846,1040
3,6,1978,1026,940
3,5,1966,904,876
3,5,1977,1126,1126
4,8,2004,2468,1136
3,6,1969,988,938
3,5,1968,1052,1052
3,6,1924,1096,572
3,6,2005,1141,1141
3,6,1972,1790,732
4,8,1999,1852,1004
3,6,1935,754,520
3,5,1916,1344,624
3,7,1970,2207,1947
3,6,1908,2358,907
4,8,1976,2715,1142
4,7,2005,1364,1364
3,7,1995,1253,1237
3,6,1963,1328,1328
3,5,1960,1422,978
3,7,1965,1986,768
2,6,1916,952,952
4,8,2006,1660,1660
5,9,2008,2234,2216
3,6,1930,790,768
4,7,2007,1340,1340
4,6,1977,1610,1610
3,5,1977,2620,1361
4,7,2005,1248,1248
4,6,1961,912,912
3,6,1998,1638,943
3,4,1961,1622,1249
4,6,1945,2320,1028
3,5,1961,1144,1144
3,5,1932,1520,793
3,6,1964,1516,1516
4,7,2006,1498,1498
4,6,2001,1961,804
4,7,2006,1456,728
3,7,1940,2403,1032
5,9,2003,1944,1896
4,7,2005,1368,1368
4,7,1999,1790,873
5,9,2008,2713,1452
3,5,1948,1271,720
3,7,1988,1872,1845
4,7,1984,2090,1190
3,6,1998,1796,794
4,7,2007,1302,1302
4,8,1981,2524,2524
3,4,1920,1374,840
4,7,2003,1626,764
3,5,1940,1034,735
5,8,2003,1518,1518
3,7,1931,1818,1040
4,7,1998,1661,1649
3,6,1932,1991,854
3,7,1920,1482,650
4,8,1985,1742,1742
2,5,1918,1250,686
3,6,1934,1176,816
4,8,1992,1915,908
3,6,1940,1595,940
4,6,1955,1661,992
3,8,2009,1935,832
4,8,2002,1795,1777
4,7,2003,1928,847
3,5,1968,1159,1051
3,6,1978,1456,855
4,7,1939,1954,798
4,8,2005,2028,1868
4,8,1976,2898,1565
4,7,2000,1674,814
3,5,1991,974,974
4,8,2002,1989,1065
4,7,1993,2097,1080
3,7,1990,1442,1424
3,5,1920,1130,1120
3,7,1925,1820,1026
3,6,1972,2119,689
5,8,2006,2576,1234
3,5,1875,1020,780
3,4,1900,1774,1095
2,1,1922,904,683
4,7,2000,1382,673
5,10,1892,3608,1107
2,6,1880,2210,1008
3,6,1995,1572,806
4,7,1971,1824,1643
3,5,1968,1056,1056
3,5,1924,1221,784
3,6,1961,1362,1362
4,6,2004,848,848
4,7,2001,1434,1454
4,7,2007,1208,1208
4,5,1936,1466,796
4,8,1994,1987,1986
4,7,1993,2418,1311
4,7,2007,1314,1314
4,7,2004,1709,970
3,6,1971,1218,672
2,6,1914,3395,1440
3,5,1987,1200,1200
3,5,1958,912,912
5,10,1994,4316,2444
4,7,2003,1710,856
5,8,2003,2374,1181
2,7,1941,1564,704
2,5,1959,1466,1466
3,6,1960,1383,1383
3,5,1979,1535,0
3,5,1995,990,990
3,7,1941,1646,918
2,6,1910,1928,1020
3,7,1979,1725,539
4,8,1992,2872,1683
3,6,1969,2112,952
3,4,1936,1324,672
4,7,2005,1200,600
3,5,1920,1344,672
4,7,2003,1668,840
3,3,1950,1040,0
4,5,1951,900,900
3,5,1948,1559,1559
3,4,1954,948,864
3,6,1980,923,923
4,7,2005,1552,1552
4,7,1915,1717,756
3,5,1968,1721,1461
3,6,1973,987,483
4,6,1995,1200,1200
3,5,1949,1716,768
3,5,1965,894,894
3,5,1960,1771,0
4,7,1974,1173,1053
4,5,1959,1287,1063
3,4,1963,1382,1051
4,7,1995,2520,1203
3,6,1958,1215,1215
4,8,1994,2526,1165
4,7,2004,1200,600
3,5,1976,1728,1728
3,7,1921,1710,576
4,8,1997,2392,1396
4,7,1993,1744,996
4,7,2007,1665,813
5,7,2007,2696,1264
3,4,1971,864,864
3,4,1941,672,672
3,5,1966,1320,1164
3,6,1976,958,1078
4,7,2004,1710,1710
4,5,1965,1265,1219
4,8,2003,1456,1273
3,5,1936,1539,927
3,7,1988,1959,1907
3,5,1926,1522,1008
3,5,1954,1124,0
3,7,1973,2090,1107
3,5,1965,1214,1214
3,5,1955,1779,1763
4,8,2002,1629,1616
4,8,2006,1554,1554
4,7,1997,2236,964
3,4,1922,796,796
3,6,1915,1680,840
4,6,2003,848,848
3,5,1976,1142,1142
3,6,1960,1252,1602
5,9,2005,1684,1684
4,8,2004,2000,2000
4,7,2005,1616,1616
5,8,2001,1872,1299
3,5,1928,1576,1042
4,7,1989,1982,807
3,5,1950,988,876
4,8,2005,1844,1844
4,6,1971,1258,1258
5,8,1996,1288,1260
4,8,2006,1634,1626
3,6,1974,1322,855
4,8,2004,1414,707
4,7,1996,1504,1504
4,7,2006,1670,1670
4,7,1974,2167,1192
3,6,1977,1069,1069
3,6,2005,1072,547
3,5,1963,1572,1572
3,5,1890,1869,1088
3,4,1956,882,882
4,9,2005,1922,1922
3,5,1972,780,780
3,5,1958,1601,533
4,7,2005,1530,1530
3,5,1985,833,833
3,3,1948,1183,649
3,5,1962,1040,1040
4,8,2006,2828,1466
3,6,1950,1252,1032
4,5,1959,1246,1246
3,6,1926,904,884
3,5,1915,1652,686
3,5,1949,1268,832
3,6,1928,1913,896
4,7,2009,1358,1358
3,6,1970,1657,1657
2,6,1918,838,816
4,7,1999,2060,992
4,7,2003,1626,764
3,6,1969,1352,663
3,5,1941,1376,768
3,6,1934,1660,715
4,6,2006,1412,616
3,6,1906,1469,756
3,7,2000,1430,384
3,6,1953,1094,1094
4,8,2005,1826,1814
3,5,1949,924,672
4,8,1985,1502,1488
4,6,1997,1688,616
4,6,2006,1262,1262
5,9,2006,1905,1905
4,7,1998,2031,1153
3,6,1974,1350,1064
4,7,2003,1829,941
3,5,1965,965,828
2,4,1941,924,672
4,8,2001,2263,1055
4,6,1935,2108,1127
3,7,1973,1242,1242
4,4,1935,1573,884
4,7,2001,2035,884
3,6,1984,1232,1232
3,7,1976,1964,803
3,4,1910,1140,576
4,5,1967,894,894
4,6,1968,2654,1054
3,5,1972,768,768
3,4,1947,912,0
2,5,1969,2080,1040
4,5,1996,1040,1040
4,6,1926,1616,1149
3,4,1885,1047,641
3,5,1957,1803,1134
4,6,1954,832,832
3,5,1966,894,894
3,5,1920,1192,596
4,9,2004,1850,1833
4,5,1967,899,864
3,5,1966,892,864
3,6,1910,2291,1214
3,5,1898,2138,849
3,6,1997,1604,926
4,7,2006,2021,868
3,5,1975,938,938
4,7,1918,1426,912
3,5,1948,1920,928
3,5,1955,1098,1098
3,3,1935,729,270
4,6,1959,1252,1252
3,5,1967,1584,1584
5,9,2008,1506,1498
4,9,1999,1709,1698
3,5,1957,1092,1092
5,9,2006,1746,1746
3,7,1953,2287,1304
3,5,1926,789,768
3,5,1959,1041,1041
4,8,2002,1908,967
4,6,2002,2267,1010
3,5,1931,875,715
3,5,1957,1526,1216
4,6,1977,1567,1567
5,9,2008,2822,1734
4,7,1928,1378,689
3,4,1920,1738,715
3,6,1988,2060,1151
3,5,1954,1128,936
4,7,2004,1720,840
3,5,1956,1050,1050
4,6,2003,1114,1114
5,5,1958,1053,1008
5,8,2001,1593,1593
3,5,1967,1214,1214
4,5,1982,816,816
3,5,1979,1535,0
4,8,1918,3112,1360
4,8,2006,1919,1079
3,5,1994,1097,1097
3,6,1940,1750,983
3,6,1972,987,483
3,6,1971,981,981
4,5,1959,1700,1398
3,5,1957,816,816
4,7,2001,1840,944
3,6,1973,2521,942
3,5,1970,1002,1002
3,4,1950,841,721
4,6,1992,996,936
5,8,2004,1713,1713
4,6,1988,1412,1392
3,6,1957,1236,912
3,4,1963,1040,1064
4,8,1995,1616,1595
3,6,1958,1414,1184
4,7,1997,1950,975
3,5,1954,1086,1086
4,5,1923,1576,1324
3,5,1970,768,768
4,6,1972,1381,1161
4,8,2002,2169,1284
3,3,1949,720,0
3,6,1920,2792,1510
3,4,1953,936,936
3,4,1972,1181,1138
4,7,2007,1689,1689
3,4,1954,948,948
4,6,2000,1512,756
3,5,1968,894,894
4,7,2009,1852,900
3,4,1957,845,0
4,3,1931,774,544
4,8,1995,3238,2033
4,7,2007,1232,1232
3,7,1969,1164,1164
3,5,1930,1248,912
3,5,1948,1687,747
4,6,2002,1960,860
3,4,1970,1092,546
3,4,1954,894,894
4,7,2003,1479,1453
4,5,1968,1060,1060
4,7,2004,1436,1436
2,5,1952,1044,540
3,7,1914,1768,880
3,6,1930,816,816
3,7,2000,1430,384
3,5,1955,1867,1617
4,7,2006,1500,1356
3,4,1960,1100,1100
3,5,1982,816,816
3,5,1959,1328,1350
5,10,2008,2296,1722
3,5,1955,864,864
4,7,2005,1266,1257
3,4,1971,858,858
4,6,1993,1710,832
3,4,1939,1123,732
3,6,1999,1647,953
3,5,1968,874,864
5,8,2001,1788,1753
4,6,1957,1839,1477
4,5,1976,1868,780
3,5,1959,1712,1626
3,6,1980,1229,561
4,8,2007,1600,1566
3,6,1997,1600,916
3,5,1936,1344,896
5,5,1977,1126,1126
3,5,1984,923,876
3,5,1921,616,616
3,5,1961,1800,1800
3,6,1953,1505,1505
4,5,1977,1647,1430
4,4,2005,1132,1132
4,6,1997,1764,928
3,4,1945,1529,0
4,6,1919,2447,804
4,7,2005,1504,1346
3,3,1955,1163,1162
4,6,2000,1525,756
3,5,1965,935,935
4,6,1930,813,813
5,5,1948,2008,896
4,7,1990,2329,1475
3,5,1950,1558,910
3,7,1976,1664,832
5,7,1968,2110,2110
4,6,1997,1786,824
3,5,1977,1475,757
4,5,1954,1387,811
4,7,2004,1708,976
4,6,1962,1734,912
3,5,1900,2414,954
4,7,1994,1908,915
3,5,1962,1283,931
4,7,2001,1212,1212
5,7,1925,1548,952
3,5,1967,980,980
5,6,1956,1811,1073
3,4,1966,1056,1056
4,8,2007,1234,1234
3,5,1970,1302,630
2,6,1920,1406,319
3,5,1982,858,858
5,9,2005,2324,1175
4,5,1953,910,105
3,6,1964,1611,780
4,6,2005,1560,684
3,5,1977,2020,0
4,8,2001,1338,1338
3,5,1962,1188,1188
4,7,2002,1459,1459
4,7,1996,2260,1306
4,7,2001,1430,1413
3,5,1940,996,996
3,6,1964,1092,1092
4,7,2006,1250,625
4,7,2004,1728,864
3,5,1975,924,924
4,6,1993,1199,1199
3,5,1968,948,948
3,5,1965,925,925
3,5,1920,835,458
4,8,2004,2466,1580
4,7,1966,2157,924
3,5,1976,1060,1040
5,10,2001,2633,2633
3,5,1922,1048,993
3,6,2000,1664,953
3,6,1928,784,784
3,6,1977,1279,1196
3,4,1956,1229,1134
3,5,1954,1268,1268
4,7,2007,1428,1428
3,6,1976,1125,1041
3,5,1954,1008,1008
5,8,2008,1630,1622
4,6,2003,1728,864
3,5,1968,1211,952
3,5,1959,1040,1040
3,8,1981,1707,1686
3,7,1998,1632,935
3,5,1957,1392,1392
3,5,1953,1319,608
4,6,2005,1484,742
3,5,1969,971,971
3,6,1976,1062,1029
3,6,1975,980,945
4,7,2003,1405,1405
3,6,2000,1671,959
3,5,1975,1074,1056
3,5,1948,2320,0
3,6,1979,918,918
4,5,1976,1437,1437
3,6,1977,1069,1069
3,6,1968,1556,727
4,7,2002,1894,817
4,8,2006,1973,1935
4,7,1967,2978,710
4,6,2004,848,848
3,7,1995,1474,384
3,5,1954,1056,1056
3,5,1983,902,864
3,6,1978,1032,1032
3,5,1920,1077,961
3,5,1961,1235,1235
4,7,1990,1442,910
3,6,1971,987,483
3,6,1977,1004,975
3,5,1959,1006,1006
2,5,1912,1716,780
4,7,2004,1720,860
2,4,1920,960,960
4,7,2006,1604,1604
4,8,1970,2217,2217
4,6,1969,1844,1844
3,6,1993,1571,799
4,7,1999,1479,1468
3,5,1965,1786,1499
3,6,1958,1632,1240
4,8,2007,1768,866
3,5,1969,1096,1096
3,7,1986,2093,791
3,6,1966,1348,660
4,7,2005,1456,728
3,5,1957,1600,1484
4,6,2003,1700,1682
3,6,1992,1593,808
3,5,1951,1363,1008
3,6,1978,1441,855
4,8,2007,1710,1710
4,7,1994,2110,948
4,6,1976,1479,725
3,7,1998,767,723
